reference,function,primary_candidate,alternate_or_class,source_id,key_constraints,verification,procurement_status,owner
U1,input protection controller,LTC4368HMS-2#PBF,LTC4368-2 automotive-temperature family,SRC-ADI-LTC4368,100V surge reverse polarity and bidirectional current protection,UV OV overcurrent reverse and inrush bench tests,OWNER_APPROVAL_REQUIRED,Electrical Owner
Q1 Q2,back-to-back input MOSFETs,Infineon BSC093N15NS5ATMA1,150V N-channel PG-TDSON-8 class,SRC-INF-BSC093N15NS5,150V VDS SOA and common-source pinout,reverse polarity inrush SOA and thermal tests,OWNER_APPROVAL_REQUIRED,Electrical Owner
RS1,input current sense,Vishay WSL3637R0060FEA,6mR 3W 1 percent four-terminal-compatible class,SRC-VISHAY-WSL3637,50mV trip target Kelvin routing and pulse rating,trip threshold and thermal rise,OWNER_APPROVAL_REQUIRED,Electrical Owner
U2,isolated 36-60V to 12V,Q36SR12020NRFH,18-75V input 12V 20A 240W isolated quarter-brick class,SRC-DELTA-Q36SR12020-DISTRIBUTOR,exact distributor-listed MPN and Q36SR family pinout are implemented; exact 20A manufacturer datasheet lifecycle quote and heat-spreader configuration remain open,verify exact manufacturer revision pinout derating thermal interface authorized-channel quote lifecycle and AVL,EXACT_MANUFACTURER_DATASHEET_LIFECYCLE_QUOTE_AND_AVL_REQUIRED,Electrical and Procurement Owners
U3,Jetson protected branch,Texas Instruments TPS26633RGER,12V eFuse with at least 6A continuous capability,SRC-TI-TPS2663,12V 5A continuous current limit and short-circuit behavior,loaded voltage fault trip and thermal rise,OWNER_APPROVAL_REQUIRED,Electrical Owner
U4,logic buck,RECOM RPL-5.0-R,12V to 3.3V 5A synchronous regulator module,SRC-RECOM-RPL5,3.3V 5A continuous ripple and layout-specific thermal limits,load transient ripple efficiency and thermal test,ORDERABLE_MPN_AND_LAND_PATTERN_REVIEW_REQUIRED,Electrical Owner
U5,real-time MCU,WCH CH32V307VCT6,approved CH32V307 LQFP100 revision,SRC-WCH-CH32V307,144MHz package pin mux and programming voltage,programming clock reset and interface loopback,OWNER_APPROVAL_REQUIRED,Firmware and Electrical Owners
U6,isolated CAN FD,Texas Instruments ISO1042DWR,reinforced isolated CAN FD DW16 class,SRC-TI-ISO1042,5kVrms class 70V bus fault official 8.1mm board-copper land pattern and all-layer keepout,CAN FD error counters bus fault isolation test and supplier creepage review,OWNER_APPROVAL_REQUIRED,Electrical Owner
U7,CAN-side isolated power,NXF1S0305MC-R7,regulated 3.3V-input to 5V 200mA 1W isolated SMD module,SRC-MURATA-NXF1,official KDC_NXF1.C01 electrical and land-pattern data; board pad-edge gap is 4.08mm and does not meet the 8mm system target,loaded voltage efficiency limited hipot screening and system safety suitability review,SAFETY_AND_PROCUREMENT_REVIEW_REQUIRED,Electrical and Safety Owners
L1,CAN common-mode choke,TDK ACT45B-101-2P-TL003,automotive CAN FD common-mode choke,SRC-TDK-ACT45B,CAN FD insertion loss current rating and footprint,CAN FD eye and emissions pre-scan,OWNER_APPROVAL_REQUIRED,Electrical Owner
D2,CAN bus TVS,Nexperia PESD2CANFD24V-T,CAN FD dual-line TVS,SRC-NEXPERIA-PESD2CANFD,standoff capacitance pulse rating and pinout,IEC transient pre-compliance and CAN FD eye,OWNER_APPROVAL_REQUIRED,Electrical Owner
U8,E-stop diagnostic isolation,"Toshiba TLP293-4(GB,E)",four-channel transistor optocoupler class,SRC-TOSHIBA-TLP293-4,input current CTR propagation and SOIC creepage,channel state truth-table diagnostics,SAFETY_OWNER_APPROVAL_REQUIRED,Safety Owner
K1 K2,force-guided safety relays,Panasonic SFM4-DC12V,12V force-guided four-pole relay class,SRC-PANASONIC-SFM4,coil pickup release mechanically linked contacts and exact footprint,contact mapping discrepancy reset and welded-contact tests,SAFETY_OWNER_AND_VENDOR_DRAWING_REQUIRED,Safety Owner
F2,E-stop loop resettable fuse,Littelfuse 1206L025YR,0.25A resettable PTC 1206 class,SRC-LITTELFUSE-1206L,hold trip voltage and reset behavior,loop short and recovery test,SAFETY_OWNER_APPROVAL_REQUIRED,Safety Owner
