reference,name,pins,rating,signals,keying,controlled_system_limit_a,limit_basis,branch_protection
J1,48V_INPUT,4,60V 10A,"VBAT+,VBAT+,VBAT-,VBAT-",mandatory,10,10 A fuse ceiling; 8 A continuous design envelope,F1 plus U1 hot-swap current limit
J2,12V_MOTOR_AUX,4,12V 16A contact,"12V,12V,GND,GND",mandatory,10,120 W aggregate at 12 V; two contacts parallel per polarity,U2 source limit plus external motor branch fuse required
J3,JETSON_DEVKIT_POWER,4,12V 5A,"12V,12V,GND,GND",mandatory,5,5 A continuous protected Jetson branch,U3 eFuse and harness derating
J4,JETSON_MCU_BACKPLANE,20,3.3V 0.5A,"3V3,GND,SPI,I2C,UART,JETSON_ENABLE_REQ,CS0..CS5,ESTOP_SENSE,MCU_RESET",polarized,0.5,logic backplane budget,U4 logic rail current limit
J5,CAN_A,4,70V fault,"CANH,CANL,GND_CAN_ISO,NC",mandatory,0.1,CAN transceiver field interface,U7 isolation and D2 TVS
J6,CAN_B,4,70V fault,"CANH,CANL,GND_CAN_ISO,NC",mandatory,0.1,CAN transceiver field interface,U7 isolation and D2 TVS
J7,MOTOR_SPI_HARNESS_ENDPOINT,18,3.3V 0.2A,"SCLK,MOSI,MISO,CS0..CS5,FAULT0..5,GND",polarized,0.2,downstream endpoint definition,not populated on EVT controller
J8,CURRENT_ADC_HARNESS_ENDPOINT,14,3.3V 0.1A,"ADC0..ADC5,AGND pairs",polarized,0.1,downstream endpoint definition,not populated on EVT controller
J9,SENSOR_DAUGHTERBOARD_ENDPOINT,20,5V 1A,"I2C,SPI,ADC,GPIO,5V,3V3,GND",polarized,1,downstream endpoint definition,not populated on EVT controller
J10,ESTOP_LOOP,4,12V 0.2A,"CH_A_OUT,CH_A_RETURN,CH_B_OUT,CH_B_RETURN",red keyed,0.2,dual-channel safety loop,K1/K2 hardware gate
J12,MANUAL_RESET_LOOP,4,12V 0.2A,"CH_A_RETURN,RESET_CH_A_RETURN,CH_B_RETURN,RESET_CH_B_RETURN",red keyed,0.2,dual-channel reset loop,K1/K2 monitored reset
J11,SAFETY_GATE_OUTPUT,4,3.3V 0.2A,"MOTOR_ENABLE_SAFE,ESTOP_SENSE,GND,3V3",mandatory,0.2,safety interface only,external driver safety input approval required
TP1-TP15,TEST_POINTS,1,probe,"VBAT_PROTECTED,12V_ISO,JETSON_12V,3V3,GND,CANH,CANL,RESET,5V_CAN_ISO,3V3_PGOOD,JETSON_PGOOD,JETSON_FAULT_N,U3_IMON,ESTOP_A_MON,ESTOP_B_MON",n/a,,measurement-only,no load
